央视,#genre#
东方影视,http://192.168.2.1:5155/rtp/233.18.204.55:5140?fcc=124.75.26.151:15970
东方影视,http://192.168.2.1:5155/rtp/239.45.3.237:5140?fcc=124.75.26.151:15970
东方影视,http://192.168.2.1:5155/rtp/233.18.204.4:5140?fcc=124.75.26.151:15970
东方影视,http://192.168.2.1:5155/rtp/239.45.3.245:5140?fcc=124.75.26.151:15970
东方影视,http://192.168.2.1:5155/rtp/239.45.3.249:5140?fcc=124.75.26.151:15970
五星体育,http://192.168.2.1:5155/rtp/233.18.204.216:5140?fcc=124.75.26.151:15970
五星体育,http://192.168.2.1:5155/rtp/233.18.204.58:5140?fcc=124.75.26.151:15970
五星体育,http://192.168.2.1:5155/rtp/239.45.1.21:5140?fcc=124.75.26.151:15970
五星体育,http://192.168.2.1:5155/rtp/239.45.3.210:5140?fcc=124.75.26.151:15970
五星体育,http://192.168.2.1:5155/rtp/233.18.204.6:5140?fcc=124.75.26.151:15970
五星体育,http://192.168.2.1:5155/rtp/239.45.3.112:5140?fcc=124.75.26.151:15970
第一财经,http://192.168.2.1:5155/rtp/233.18.204.59:5140?fcc=124.75.26.151:15970
第一财经,http://192.168.2.1:5155/rtp/239.45.3.211:5140?fcc=124.75.26.151:15970
第一财经,http://192.168.2.1:5155/rtp/233.18.204.5:5140?fcc=124.75.26.151:15970
第一财经,http://192.168.2.1:5155/rtp/239.45.3.111:5140?fcc=124.75.26.151:15970
东方财经,http://192.168.2.1:5155/rtp/233.18.204.65:5140?fcc=124.75.26.151:15970
东方财经,http://192.168.2.1:5155/rtp/239.45.0.17:5140?fcc=124.75.26.151:15970
上海教育,http://192.168.2.1:5155/rtp/233.18.204.63:5140?fcc=124.75.26.151:15970
上海教育,http://192.168.2.1:5155/rtp/239.45.0.13:5140?fcc=124.75.26.151:15970
上海教育,http://192.168.2.1:5155/rtp/233.18.204.11:5140?fcc=124.75.26.151:15970
上海教育,http://192.168.2.1:5155/rtp/239.45.3.252:5140?fcc=124.75.26.151:15970
嘉定频道,http://192.168.2.1:5155/rtp/239.45.3.185:5140?fcc=124.75.26.151:15970
少儿,#genre#
哈哈炫动,http://192.168.2.1:5155/rtp/233.18.204.54:5140?fcc=124.75.26.151:15970
哈哈炫动,http://192.168.2.1:5155/rtp/239.45.1.55:5140?fcc=124.75.26.151:15970
哈哈炫动,http://192.168.2.1:5155/rtp/233.18.204.7:5140?fcc=124.75.26.151:15970
哈哈炫动,http://192.168.2.1:5155/rtp/239.45.3.187:5140?fcc=124.75.26.151:15970
卡酷少儿,http://192.168.2.1:5155/rtp/233.18.204.109:5140?fcc=124.75.26.151:15970
卡酷少儿,http://192.168.2.1:5155/rtp/239.45.0.8:5140?fcc=124.75.26.151:15970
卡酷少儿,http://192.168.2.1:5155/rtp/233.18.204.152:5140?fcc=124.75.26.151:15970
卡酷少儿,http://192.168.2.1:5155/rtp/239.45.1.49:5140?fcc=124.75.26.151:15970
嘉佳卡通,http://192.168.2.1:5155/rtp/233.18.204.151:5140?fcc=124.75.26.151:15970
嘉佳卡通,http://192.168.2.1:5155/rtp/239.45.1.48:5140?fcc=124.75.26.151:15970
金鹰卡通,http://192.168.2.1:5155/rtp/233.18.204.113:5140?fcc=124.75.26.151:15970
金鹰卡通,http://192.168.2.1:5155/rtp/239.45.0.38:5140?fcc=124.75.26.151:15970
金鹰卡通,http://192.168.2.1:5155/rtp/239.45.3.233:5140?fcc=124.75.26.151:15970
金鹰卡通,http://192.168.2.1:5155/rtp/233.18.204.150:5140?fcc=124.75.26.151:15970
金鹰卡通,http://192.168.2.1:5155/rtp/239.45.3.119:5140?fcc=124.75.26.151:15970
动漫秀场,http://192.168.2.1:5155/rtp/233.18.204.46:5140?fcc=124.75.26.151:15970
动漫秀场,http://192.168.2.1:5155/rtp/239.45.3.134:5140?fcc=124.75.26.151:15970
BesTV 4K动画,http://192.168.2.1:5155/rtp/233.18.204.171:5140?fcc=124.75.26.151:15970
BesTV 4K动画,http://192.168.2.1:5155/rtp/239.45.1.1:5140?fcc=124.75.26.151:15970
BesTV 4K动画,http://192.168.2.1:5155/rtp/239.45.1.11:5140?fcc=124.75.26.151:15970
CHC,#genre#
CHC家庭影院,http://192.168.2.1:5155/rtp/233.18.204.173:5140?fcc=124.75.26.151:15970
CHC家庭影院,http://192.168.2.1:5155/rtp/239.45.0.40:5140?fcc=124.75.26.151:15970
CHC动作电影,http://192.168.2.1:5155/rtp/233.18.204.174:5140?fcc=124.75.26.151:15970
CHC动作电影,http://192.168.2.1:5155/rtp/239.45.0.41:5140?fcc=124.75.26.151:15970
CHC影迷电影,http://192.168.2.1:5155/rtp/233.18.204.175:5140?fcc=124.75.26.151:15970
CHC影迷电影,http://192.168.2.1:5155/rtp/239.45.0.42:5140?fcc=124.75.26.151:15970
其它,#genre#
BesTV 4K电影,http://192.168.2.1:5155/rtp/233.18.204.169:5140?fcc=124.75.26.151:15970
BesTV 4K电影,http://192.168.2.1:5155/rtp/239.45.1.42:5140?fcc=124.75.26.151:15970
BesTV 4K电影,http://192.168.2.1:5155/rtp/239.45.1.9:5140?fcc=124.75.26.151:15970
BesTV 4K电影,http://192.168.2.1:5155/rtp/239.45.3.107:5140?fcc=124.75.26.151:15970
BesTV 4K记录,http://192.168.2.1:5155/rtp/233.18.204.170:5140?fcc=124.75.26.151:15970
BesTV 4K记录,http://192.168.2.1:5155/rtp/239.45.1.10:5140?fcc=124.75.26.151:15970
BesTV人文,http://192.168.2.1:5155/rtp/239.45.1.29:5140?fcc=124.75.26.151:15970
都市剧场,http://192.168.2.1:5155/rtp/233.18.204.48:5140?fcc=124.75.26.151:15970
都市剧场,http://192.168.2.1:5155/rtp/239.45.3.136:5140?fcc=124.75.26.151:15970
欢笑剧场,http://192.168.2.1:5155/rtp/233.18.204.115:5140?fcc=124.75.26.151:15970
欢笑剧场,http://192.168.2.1:5155/rtp/233.18.204.205:5140?fcc=124.75.26.151:15970
欢笑剧场,http://192.168.2.1:5155/rtp/239.45.1.4:5140?fcc=124.75.26.151:15970
欢笑剧场,http://192.168.2.1:5155/rtp/233.18.204.50:5140?fcc=124.75.26.151:15970
欢笑剧场,http://192.168.2.1:5155/rtp/239.45.3.196:5140?fcc=124.75.26.151:15970
生活时尚,http://192.168.2.1:5155/rtp/233.18.204.45:5140?fcc=124.75.26.151:15970
生活时尚,http://192.168.2.1:5155/rtp/239.45.3.132:5140?fcc=124.75.26.151:15970
金鹰纪实,http://192.168.2.1:5155/rtp/233.18.204.104:5140?fcc=124.75.26.151:15970
金鹰纪实,http://192.168.2.1:5155/rtp/239.45.1.45:5140?fcc=124.75.26.151:15970
纪实科教,http://192.168.2.1:5155/rtp/239.45.1.14:5140?fcc=124.75.26.151:15970
法治天地,http://192.168.2.1:5155/rtp/233.18.204.49:5140?fcc=124.75.26.151:15970
法治天地,http://192.168.2.1:5155/rtp/239.45.1.46:5140?fcc=124.75.26.151:15970
法治天地,http://192.168.2.1:5155/rtp/233.18.204.12:5140?fcc=124.75.26.151:15970
法治天地,http://192.168.2.1:5155/rtp/239.45.1.192:5140?fcc=124.75.26.151:15970
游戏风云,http://192.168.2.1:5155/rtp/233.18.204.44:5140?fcc=124.75.26.151:15970
游戏风云,http://192.168.2.1:5155/rtp/239.45.3.131:5140?fcc=124.75.26.151:15970
游戏风云,http://192.168.2.1:5155/rtp/233.18.204.13:5140?fcc=124.75.26.151:15970
游戏风云,http://192.168.2.1:5155/rtp/239.45.3.64:5140?fcc=124.75.26.151:15970
睛彩竞技,http://192.168.2.1:5155/rtp/233.18.204.165:5140?fcc=124.75.26.151:15970
睛彩竞技,http://192.168.2.1:5155/rtp/239.45.3.53:5140?fcc=124.75.26.151:15970
乐游,http://192.168.2.1:5155/rtp/233.18.204.47:5140?fcc=124.75.26.151:15970
乐游,http://192.168.2.1:5155/rtp/239.45.3.135:5140?fcc=124.75.26.151:15970
茶频道,http://192.168.2.1:5155/rtp/233.18.204.43:5140?fcc=124.75.26.151:15970
茶频道,http://192.168.2.1:5155/rtp/239.45.3.18:5140?fcc=124.75.26.151:15970
快乐垂钓,http://192.168.2.1:5155/rtp/233.18.204.42:5140?fcc=124.75.26.151:15970
快乐垂钓,http://192.168.2.1:5155/rtp/239.45.3.12:5140?fcc=124.75.26.151:15970
金色学堂,http://192.168.2.1:5155/rtp/233.18.204.66:5140?fcc=124.75.26.151:15970
金色学堂,http://192.168.2.1:5155/rtp/239.45.0.9:5140?fcc=124.75.26.151:15970
金色学堂,http://192.168.2.1:5155/rtp/233.18.204.14:5140?fcc=124.75.26.151:15970
金色学堂,http://192.168.2.1:5155/rtp/239.45.1.118:5140?fcc=124.75.26.151:15970
财富天下,http://192.168.2.1:5155/rtp/233.18.204.41:5140?fcc=124.75.26.151:15970
财富天下,http://192.168.2.1:5155/rtp/239.45.0.7:5140?fcc=124.75.26.151:15970
先锋乒羽,http://192.168.2.1:5155/rtp/239.45.3.43:5140?fcc=124.75.26.151:15970
家庭理财,http://192.168.2.1:5155/rtp/233.18.204.157:5140?fcc=124.75.26.151:15970
家庭理财,http://192.168.2.1:5155/rtp/239.45.0.14:5140?fcc=124.75.26.151:15970
中国天气,http://192.168.2.1:5155/rtp/239.45.3.141:5140?fcc=124.75.26.151:15970
养殖频道,http://192.168.2.1:5155/rtp/239.45.1.8:5140?fcc=124.75.26.151:15970
健康养生,http://192.168.2.1:5155/rtp/239.45.1.28:5140?fcc=124.75.26.151:15970
防疫宣传,http://192.168.2.1:5155/rtp/239.45.3.235:5140?fcc=124.75.26.151:15970
